Number,Short description,Priority,Assignment group,Description,Business Application,Category,Subcategory,Resolution notes,Summarized_Issue,Summarized_Recommendations
INC0045454,[BRQ] unplanned return has loaded in bevlink however has not credited the customer,4 - Low,AM - SAP O2C,Unplanned return against 87822369 has been loaded into bevlink however has not credited the customer,SAP S4 Order to Cash (O2C),SAP,Other,"Issue: unplanned return has loaded in bevlink however has not credited the customer
Resolution: asked the user to re raise the ticket if the issue still persists after getting response from bevchain
Application: S4
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0045454 was raised due to an issue with an unplanned return (87822369) that had been loaded into Bevlink but had not credited the customer. The issue was categorized under SAP and was assigned to the AM - SAP O2C group. The problem was that the delivery was not visible in the Bevchain system, which was needed for processing. The issue was escalated due to its aging status and the need for an invoice as soon as possible.

","RECOMMENDATIONS:
1. Reach out to Bevchain: The user was asked to re-raise the ticket if the issue still persists after getting a response from Bevchain. It is recommended to follow up with Bevchain to understand why the return has not been credited to the customer.
2. Check the timestamp of the return complaint: It was suggested to provide the timestamp of the return complaint from WM to S4RT87822369 for further investigation.
3. Verify the successful transmission of data: It is recommended to verify the successful transmission of data to both TMSNZ and Bevchain to ensure smooth operations.
4. Monitor the situation: After implementing the resolution, it is recommended to monitor the situation to ensure that the issue with the return numbers not transmitting to Bevchain is fully resolved.
5. Raise a new ticket if necessary: If there are any further issues or concerns, it is recommended to raise a new ticket in Service Now.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0045451,[BRQ-DT][VST2-IDT2]Unable to check out of a visit.,4 - Low,AM - Hybris Marketing and C4C,"Unable to check out of a visit due to error. Un-authorised to complete tap review as it is assigned to Todd Robinson. Vists where assigned back to my calendar this week as part of journey plan changes. If someone can assist ASAP, as I can't start any visits until I can check out of current visit.",SAP Cloud for Customer (C4C),Sales & Marketing Products,Cloud for Customer (C4C),"Hi Joshua - thanks for your confirmation. As discussed, to fix this issue we have updated the Tap Review's Territory and Owner and assigned it under your name and Territory.","ISSUE:
The user, Joshua, was unable to check out of a visit in the SAP Cloud for Customer (C4C) application due to an error stating ""Unauthorised to complete tap review as it is assigned to Todd Robinson"". This issue arose after visits were reassigned back to Joshua's calendar as part of journey plan changes. The inability to check out of the current visit was preventing Joshua from starting any new visits.

","RECOMMENDATIONS:
To resolve this issue, the following steps were taken:

1. The Tap Reviews Territory and Owner were updated.
2. The Tap Review was assigned under Joshua's name and Territory.
3. Joshua was then able to check out of the visit and confirmed this via email.
4. Upon successful resolution, the ticket was closed.

Please note that these recommendations are based on the resolution notes provided in the ticket."
INC0045450,[BRQ] [DP04-IUE1] Query about snapshot KFs,4 - Low,AM - SAP P2M,"What's the purpose of these jobs, and why do we run on Wednesday & Sunday?
- ZBA SP Weekly Snapshots Wednesday
- ZBA SP Weekly Redo Snapshots Sunday

I was investigating the snapshot KF's that it populates, but there seems to be an issue with the most recent snapshots. 

For example:
ZSCSSPRODUCTION_SS_1
ZSCSSPRODUCTION_SS_2
Both seem to contain the same data, not 1 and 2 weeks ago.

All of the snapshots are therefore not X weeks ago, as would be expected.

Could you please have a look and let me know?",SAP Integrated Business Planning (IBP),SAP,Integrated Business Planning (IBP),"Resolution details: Will be taken over by the project team as a CI.
RFC# N/A","ISSUE:
The ticket INC0045450 was raised due to a query about snapshot Key Figures (KFs) in the SAP Integrated Business Planning (IBP) system. The user was investigating the purpose of the jobs ""ZBA SP Weekly Snapshots Wednesday"" and ""ZBA SP Weekly Redo Snapshots Sunday"" and why they run on Wednesday and Sunday respectively. The user noticed an issue with the most recent snapshots, specifically ""ZSCSSPRODUCTION_SS_1"" and ""ZSCSSPRODUCTION_SS_2"", which seemed to contain the same data, not representing 1 and 2 weeks ago as expected. The user requested a review of this issue.

","RECOMMENDATIONS:
1. The issue will be taken over by the project team as a Continuous Improvement Request (CIR). 
2. The Wednesday and Sunday snapshot jobs were set up to capture the NZ and AU supply planning results respectively. However, since the jobs have been reverted back to snapshot operator, the flexibility to separate out the snapshots using filters has been lost. 
3. A potential solution could be to revert back to copy operators, but issues previously encountered with this approach would need to be addressed.
4. The snapshot jobs for AU and NZ could be separated for clarity. The steps in the Application job could be correctly named to indicate the copying process from ""_1"" to ""_2"", etc. 
5. A new Key Figure could be created to represent the current week, such as ""_0"", or guidance could be provided on which Key Figure meets that purpose.
6. The situation should be monitored, particularly after the next Sunday run to check if the week gets populated by the job before proceeding with the copy operator changes.
7. The user should be informed of any updates and further concerns should be addressed promptly.

Please note that these recommendations are based on the information provided in the ticket and may need to be adjusted based on further investigation or changes in the situation."
INC0045446,[BRQ] Error in product sales organisation,4 - Low,AM - SAP O2C,"I raised return for product 1258824 however return did not complete due to error message 'product not scheduled in sales organisation' Complaint number 9000248745. Please see attachment for screenshot of error.
Thanks",SAP S4 Order to Cash (O2C),SAP,Master Data Governance (MDG),"Issue: Error in product sales organisation
Resolution: Please be informed that issue is now fixed by manual replication of material now from S4 to CRM.
Application: CRM
Change Request: NA

We would like to appreciate if you can response back to the Survey generated upon ticket closure to help us in improving the service to the business.","ISSUE:
The ticket INC0045446 was raised due to an error in the product sales organization for product 1258824 in the SAP S4 Order to Cash (O2C) system. The user was trying to raise a return for this product, but the process did not complete due to an error message stating that the product was not scheduled in the sales organization. This issue was related to the complaint number 9000248745.

","RECOMMENDATIONS:
The issue was resolved by manually replicating the material from S4 to CRM. The steps taken to resolve this issue can be summarized as follows:

1. Identify the product causing the issue in the SAP S4 O2C system.
2. Manually replicate the identified product from S4 to CRM.
3. Request the user to relog the complaint and check if the issue persists.

Please note that these recommendations are based on the resolution notes provided in the ticket and the historical ticket INC0042103. If the issue reoccurs, it may be necessary to investigate further or take additional steps."
INC0045442,[BRQ] add soft cut off to friday,4 - Low,AM - SAP O2C,"Hi Team, 
Customer 10159557 is missing the soft cut off on Friday. Can you please add Friday cut off 12pm please?
Cheers",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"Issue: add soft cut off to friday
Resolution:  added friday soft cut off for this customer and user confirmed the same.
Application: S4
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0045442 was raised due to the absence of a soft cut-off on Fridays for customer 10159557 in the SAP S4 Order to Cash (O2C) system. This was preventing the customer from placing orders for their profiled Friday delivery day. The request was to add a 12pm soft cut-off on Fridays for this customer.

","RECOMMENDATIONS:
The issue was resolved by adding a 12pm soft cut-off on Fridays for the customer in the SAP S4 system. The resolution was confirmed by the user. The final recommendation was to close the ticket as the issue had been successfully resolved. 

Steps breakdown:
1. Identify the issue with the missing soft cut-off on Fridays for the customer.
2. Add a 12pm soft cut-off on Fridays for the customer in the SAP S4 system.
3. Confirm the resolution with the user.
4. Close the ticket and request the user to respond to a service improvement survey.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0045441,[BRQ] [DP01-IDT2] Dependent Production Demand Snapshot not populating in Material Price Roll up template,4 - Low,AM - SAP P2M,"In the Material Price Roll Up template the 125.03. Sales - Plan - Dependent Production Demand Snapshot volumes aren't populating.  Stella has got Marina to run the below job which should populate from I think weekly supply planning version into monthly work however it's still blank.

Job is:
""ZBA AU SOP Lock Supply Plan Output and Create PlanObj for COGS Var in Monthly Work - NEW""",SAP Integrated Business Planning (IBP),SAP,Integrated Business Planning (IBP),"Resolution details: 

1. Run the jobs:
ZBA AU Copy Version - Dependent Production Demand - Baseline to Monthly Work Ad Hoc
ZBA AU SOP Lock Supply Plan Output and Create PlanObj for COGS Var in Monthly Work - NEW

RFC# N/A","ISSUE:
The ticket INC0045441 pertains to an issue with the Dependent Production Demand Snapshot not populating in the Material Price Roll Up template in the SAP Integrated Business Planning (IBP) system. The problem was identified with the 12503 Sales Plan Dependent Production Demand Snapshot volumes. Despite running the job ""ZBA AU SOP Lock Supply Plan Output and Create PlanObj for COGS Var in Monthly Work - NEW"", the volumes were still not populating. The issue was impacting the visibility of the Dependent Production Demand, which is only visible on the Base Version, and therefore, when the job was run, it did not copy over to the Snapshot Key Figure on the Monthly Work Version.

","RECOMMENDATIONS:
1. Run the jobs ""ZBA AU Copy Version - Dependent Production Demand - Baseline to Monthly Work Ad Hoc"" and ""ZBA AU SOP Lock Supply Plan Output and Create PlanObj for COGS Var in Monthly Work - NEW"". These jobs should help in populating the Dependent Production Demand Snapshot in the Material Price Roll Up template.
2. Identify who in the workflow is responsible for loading the pricing. This seems to be a crucial step in getting the product to show in the Plan.
3. Work on maintaining the pricing information for the affected material. This task has been agreed upon by Shelley, Rohit, and the team.
4. Ensure that the workflow area showing complete is indeed complete and not missing any crucial steps or information.
5. Reconvene after the issue is fixed to discuss what the process should look like for the next one.
6. Assign the ticket to Joseph Virgil Salazar for further handling.

Please note that these recommendations are based on the information provided in the ticket and may require further investigation or clarification."
INC0045439,[PRMO-HUM1] Field team can't see promo notes loaded in C4C,4 - Low,AM - Hybris Marketing and C4C,I have loaded promo note attachments in C4C for Coles Tas but the field team have reported that they cannot see any notes for their Coles customers in C4C?,SAP Cloud for Customer (C4C),Sales & Marketing Products,Cloud for Customer (C4C),"Hi Sean - thanks for the confirmation! 

Root cause: ","ISSUE:
The ticket INC0045439 was raised by a user who had loaded promotional note attachments in the SAP Cloud for Customer (C4C) application for Coles Tas. However, the field team reported that they were unable to view these notes for their Coles customers in the C4C system. The issue was assigned to the AM - Hybris Marketing and C4C group and was categorized under Sales and Marketing Products with a priority level of 4 (Low).

","RECOMMENDATIONS:
Based on the resolution notes and additional comments, the following steps were likely taken to resolve the issue:

1. The user, Sean, was asked to confirm the steps he took to load the promotional notes.
2. It was identified that the user should have selected the hierarchy node on the Account Type field instead of Account. This was likely causing the field team to be unable to view the notes.
3. Sean was advised to correct this by selecting the appropriate option.
4. After making the necessary changes, Sean was asked to delete and create the promotional notes again.
5. Once the changes were made, the issue was confirmed as resolved and the ticket was closed.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the C4C system."
INC0045434,[BRQ][OBD17-IIT1]STO order stuck in SAP,4 - Low,AM - SAP LAW,"Hi Team, 

STO 7403763328 with OBD 87883916 has been updated to completed by the inventory team however it is still appearing the Law Interface Report with the below status
    
7403763328   1030 SHIPPING PENDING SAP SHIP CONF PENDING Ship Confirmation received, but Delivery Optimization not yet received in SAP  00:00:00

Can you please assist in completing the order so it does not appear on the report?
Thanks",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause: STO 7403763328 which failed to be processed by BVC team , it still existing in LAW Interface report even after fixing the STO with OBD 87883916.
Resolution: AM Team update the LAW interface report through dt_pal table with the delivery 87883916 and updated the status.","ISSUE:
The ticket INC0045434 pertains to a Stock Transport Order (STO) 7403763328 with Outbound Delivery (OBD) 87883916 that was stuck in the SAP S4 Logistics and Warehousing LAW system. Despite being updated to 'completed' by the inventory team, the order was still appearing in the Law Interface Report with the status 'Ship Confirmation received but Delivery Optimization not yet received in SAP'. The root cause was identified as the STO failing to be processed by the BVC team, causing it to persist in the LAW Interface report even after the STO and OBD were fixed.

","RECOMMENDATIONS:
1. Confirm the status of the STO and OBD in both the SAP system and the Law Interface Report.
2. If the order is still appearing in the report despite being completed, investigate the discrepancy between the two systems.
3. The AM team resolved the issue by updating the LAW Interface report through the dt_pal table with the delivery 87883916 and updating the status. This step could be replicated for similar issues in the future.
4. After the resolution, request the business to check the LAW Interface Report again to confirm that the STO is no longer visible.
5. Monitor the system to ensure that the issue does not recur.

Please note that these recommendations are based on the information provided in the ticket and my understanding of typical procedures in SAP S4 Logistics and Warehousing LAW system."
INC0045429,[BRQ][RPT1-SUE1]Unable to view OPC,4 - Low,AM - SAP RAA,"Hi Team
Please assign ticket to RAA team to assist with OPC ,deals page.
Account # 10123290
Login # iceking008@hotmail.com

customer unable to view any OPC, deals page has , also checked and a change for the customer hierarchy is fine.
Please check why customer is unable to view OPC.

Thanks
Gurinder Singh",SAP Business Warehouse for HANA (BW4HANA),SAP,Reporting & Analytics (RAA),"Issue: customer unable to view any OPC, deals page has also checked and a change for the customer hierarchy is fine
Impact: Dealy in reporting for the specific customer
Cause: Customer marked it as Not - applicable
Resolution:
1. cross checked the customer in both CM and AD layer
2. check the PSD in S4 and the customer has marked as Not - applicable list
3. informed the same to user and closing the ticket.","ISSUE:
The issue pertains to a customer (Account 10123290) who was unable to view any OPC deals page. The customer's hierarchy was checked and found to be fine. However, the customer was still unable to view the OPC. The problem was identified as the customer being marked as ""Not applicable"" in the PSD in S4.

","RECOMMENDATIONS:
Based on the resolution notes provided in the ticket, the following actions are recommended:

1. Cross-check the customer in both CM and AD layer.
2. Check the PSD in S4. In this case, the customer was marked as ""Not applicable"".
3. Inform the user about the issue and close the ticket.

Additional steps generated by myself based on similar issues:

4. If the customer was recently added to a hierarchy, note that old discounts loaded for the banner won't reflect for this customer. Only new discounts loaded after the hierarchy assignment will be applicable.
5. If the customer is not part of any banner groups, they will not be eligible for any discounts.
6. If the customer is not eligible for OPC or special pricing, communicate this to the customer.

Please note that these recommendations are based on the information provided in the ticket and may need to be adjusted based on the specific circumstances of the issue."
INC0045425,[BRQ-BS][EX13-CEP3]Out of packet expense payment,4 - Low,AM - Concur,"Financial posting failed. Report number HEGELE
This is an out of pocket expense that was caused by the Westpac credit card issue in NZ at the end of September.",Concur,SAP,Concur,"Resolution: Expense is sent for payment and informed user about it . Hence, as there is no action required we are closing this ticket.
steps : 
1.check the claim in concur
2.if it is failed due to financial posting
3.check the audit trail
4.if it is because of vendor id
5.add vendor id in concur profile and reprocess the claim in s4 and concur
RFC#: N/A

Please respond to the survey generated upon closing this ticket. It will help us improve the service we provide to the business.""
","ISSUE:
The ticket INC0045425 pertains to an issue with an out-of-pocket expense claim in the Concur system. The claim was marked as ""Financial Posting Failed"". This expense was related to a problem with the Westpac credit card in New Zealand at the end of September. The user, Logan Campbell, needed to know the status of the claim and whether it would be paid into the same account as his salary.

","RECOMMENDATIONS:
The resolution involved the following steps:
1. Check the claim in Concur.
2. If the claim failed due to financial posting, proceed to the next step.
3. Check the audit trail.
4. If the failure is due to the vendor ID, proceed to the next step.
5. Add the vendor ID in the Concur profile and reprocess the claim in S4 and Concur.

After these steps, the expense was sent for payment and the user was informed about it. The user confirmed that the claim status was updated to ""for payment"". The user was informed that the payment would be made into the same account as his salary. Upon receiving this confirmation, no further action was required and the ticket was closed. The user was also requested to respond to a survey upon the closure of the ticket to help improve the service provided to the business.

Please note that these recommendations are based on the information provided in the ticket and my understanding of standard procedures."
INC0045420,[ALR][PTL2-IBT4]FileSystems//Use%: 86  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-11 18:31:54 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",Direct Access,Application Other,Other,Admin 1 is at 73% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket with the number INC0045420 pertains to an alert that was triggered from ORIGIN OMi, under the category of Linux and subcategory of AWS. The alert was triggered on 11th October 2023 at 18:31:54 EST. The alert was related to the file system usage on 'syaphybadm01lionaws' which reached 86%. The environment affected was PRD and the alert was initially of high priority. However, the usage was found to be below the threshold, leading to the resolution of the alert and the closure of the ticket. The business application affected was Direct Access and the assignment group was AM - Hybris eComm.

","RECOMMENDATIONS:
Based on the information provided in the ticket and my understanding of best practices, the following steps were taken to resolve the issue:

1. The 'syaphybadm01lionaws' was monitored to identify when the usage went below the threshold.
2. Once the usage was found to be below the threshold, the alert was resolved.
3. The log files were zipped for future reference.
4. The threshold was confirmed to be at 73%.
5. It was identified as a false alarm and the priority was downgraded.

For future prevention and management of similar issues, consider the following recommendations:

1. Regularly monitor the filesystem usage to prevent it from reaching the threshold.
2. Implement automated alerts to notify the team when the usage approaches the threshold.
3. Regularly archive or delete unnecessary files to maintain optimal filesystem usage.
4. Consider increasing the filesystem capacity if the usage frequently nears the threshold.

Please note that these recommendations are generated based on the information provided in the ticket and my understanding of standard procedures for handling such issues."
INC0045401,[ALR][PTL2-IBT4]FileSystems//Use%: 85  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-11 10:06:53 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",SAP Hybris eCommerce,SAP,eComm,Admin 1 is at 73% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket INC0045401 was raised due to an alert triggered from ORIGIN OMi, under the category Linux and subcategory AWS. The alert was related to high file system usage (85%) on the server syaphybadm01lionaws, which is part of the SAP Hybris eCommerce application. The environment affected was PRD and it was initially considered a high priority issue. However, upon investigation, it was found that the usage of Admin 1 was at 73%, which is below the threshold, leading to the closure of the ticket.

","RECOMMENDATIONS:
Based on the resolution notes provided in the ticket and general best practices, the following steps were taken to resolve the issue:

1. Identified the server with high file system usage.
2. Analyzed the files taking up the most space.
3. Zipped the log files to reduce space usage.
4. Monitored the server to ensure the storage space is back to normal.
5. Closed the ticket once the issue was resolved.

Please note that these recommendations are generated based on the information provided in the ticket and my understanding of best practices."
INC0045397,[BRQ][PO5-IAP4]Pallet not scanning for putaway- discrepancy between MII FG receipt report and S4 SSCC recon report,4 - Low,AM - SAP LAW,Pallet not able to be scanned by forklift drivers for putaway.  SSCC has been GR from packaging (document number 5008110903) but does not show up in SSCC reconciliation report in S4. Unsure of solution- do we need to retrigger material document?,SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause: Requested HU failed due to the base unit of measure of the material is locked by SAP_WERT.g
Resolution :AM team retriggered the output for the delivery, which created new STO, OBD and ASN. And also business provided some HU's which also failed to PGI. AM PGI'd manually.","ISSUE:
The ticket INC0045397 pertains to an issue with scanning a pallet for putaway. The pallet had been GR from packaging document number 5008110903 but did not show up in the SSCC reconciliation report in S4. This discrepancy between the MII FG receipt report and the S4 SSCC recon report was causing difficulties for forklift drivers who were unable to scan the pallet. The root cause of the issue was identified as a failure of the requested HU due to the base unit of measure of the material being locked by SAP_WERTg.

","RECOMMENDATIONS:
1. The AM team retriggered the output for the delivery which created a new STO, OBD, and ASN.
2. The business provided some HUs which also failed to PGI. The AM team manually PGId these.
3. The business was asked to confirm the completion of reprocessing and triggering of the message to generate the ASN.
4. The business was also asked to confirm for the closure of the ticket.
5. The AM team manually PGId the deliveries for those ones that had failed to process successfully due to the error. These deliveries have now created an ASN for them to be receipted. The business was asked to check at their end and let the team know if they may now proceed in closing the ticket.

Please note that these recommendations are based on the information provided in the ticket and not generated by myself."
INC0045389,[ALR][PTL2-IBT4]FileSystems//Use%: 85  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-11 06:51:53 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",SAP Hybris eCommerce,SAP,eComm,Admin 1 is at 73% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket INC0045389 was raised due to high file system usage (85%) on the server syaphybadm01lionaws, which is part of the SAP Hybris eCommerce application. The alert was triggered from ORIGIN OMi, under the category Linux and subcategory AWS. Despite the initial high priority, the issue was resolved as the usage of Admin 1 was found to be at 73%, which is below the threshold. The ticket was assigned to the AM Hybris eComm group and was categorized under SAP. The alert was considered a false alarm as the server space was already less.

","RECOMMENDATIONS:
Based on the resolution notes provided in the ticket and my understanding of best practices, the following steps are recommended:

1. Identify the server with high file system usage.
2. Analyze the files taking up the most space.
3. Zip the log files to reduce space usage.
4. Monitor the server to ensure the storage space is back to normal.
5. Close the ticket once the issue is resolved.

Please note that these recommendations are generated based on the information provided in the ticket and my understanding of best practices."
INC0045387,[BRQ] November Public Holidays - confirmation of cut offs,4 - Low,AM - SAP O2C,"Hey Team, 

For the upcoming November public holidays, can we please confirm the following cut off information?

TAS Recreation Day on Mon 06.11.2023 - cut off Fri 03.11.2023 for delivery Tues 07.11.2023
-any orders placed after cut off Fri 03.11.2023 should go on for delivery Wed 08.11.2023 with cut off on Tuesday 07.11.2023

VIC Melbourne Cup on Tues 07.11.2023 - cut off Mon 06.11.2023 for delivery Wed 08.11.2023
-any orders placed after cut off Mon 06.11.2023 should go on for delivery Thurs 09.11.2023 with cut off Wed 08.11.2023",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"Issue: November Public Holidays - confirmation of cut offs
Resolution: Requested changes need to implement on November. user agreed to raise a new ticket at that time
Application: S4
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0045387 was raised to confirm the cut-off information for the upcoming November public holidays. The specific holidays mentioned were TAS Recreation Day on 06/11/2023 and VIC Melbourne Cup on 07/11/2023. The request was to ensure that orders placed after the cut-off on the preceding days would be scheduled for delivery on the subsequent days. The ticket was categorized under SAP and specifically under the subcategory of Order to Cash (O2C).

","RECOMMENDATIONS:
1. Confirm the cut-off times for TAS Recreation Day and VIC Melbourne Cup as per the user's request.
2. Implement the requested changes in the SAP S4 Order to Cash (O2C) system.
3. Test the system to ensure that orders placed after the cut-off are scheduled for delivery on the correct days.
4. Request user confirmation that the changes have been implemented correctly.
5. Close the ticket once the user has confirmed that the changes are satisfactory.
6. Encourage the user to respond back to the survey generated upon ticket closure to help improve the service to the business.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0045382,[SAQU-IOT3]C4C is not saving inputted data in Sales Quotes,4 - Low,AM - Hybris Marketing and C4C,When adding information to a sales quote in C4C and pressing SAVE the data is not saving and it is getting wiped,SAP Cloud for Customer (C4C),Sales & Marketing Products,Cloud for Customer (C4C),"Issue : Data not saving while editing Sales Quotes
Resolution : No actions taken. Wade confirmed this issue is no longer occurring","ISSUE:
The user reported an issue with the SAP Cloud for Customer (C4C) system where the data inputted in Sales Quotes was not being saved. Despite adding information to a sales quote and pressing SAVE, the data was not being retained and was instead being wiped. The user believed that their team members had the ability to amend sales quotes after they had been set to 'Won', but this functionality seemed to be missing in their setup.

","RECOMMENDATIONS:
1. Confirm the user's understanding: It might be beneficial to confirm with the user if they have misunderstood the system's functionality or if there is a specific scenario where their team members were able to edit a 'Won' Sales Quote.
2. Check with other team members: If the user insists that their team members can edit 'Won' Sales Quotes, it would be helpful to check with those team members to understand the exact circumstances under which they were able to do so.
3. Review system settings: If there is indeed a discrepancy in system access between the user and their team members, a review of the system settings and user permissions might be necessary.
4. User training: If it turns out that Sales Quotes cannot be edited after being set to 'Won', the user may require further training or clarification on the system's functionality to avoid confusion in the future.

Please note that these recommendations are based on the information provided and my understanding of typical system functionalities."
INC0045376,[BRQ][INT1-IDT1]Unable to see my product allowance balance,4 - Low,AM - Hybris eComm,Unable to see my product allowance balance,SAP Hybris eCommerce,Application Other,Other,"Issue - Unable to see my product allowance balance
Steps taken to resolve the issue :
1. We checked in Hybris end and found there are 0 Beer points visible in Portal for the BPID # 50007649
2. We did checked R2R for the same BP and found there are no open items.
3. Further checking with S4 team found that BP # 50007649 is already expired and there is a different active BP # 50042667 for the customer.
4. In Hybris we found errors in data load for # 50042667. MDG team checked those errors and fixed the issue.
5. After the replicating the BP # 50042667 we received the successful data load and we can see the Beer points in Portal.


Resolution - User confirmed that they are able to see the Beer points in Marketplace portal now.","ISSUE:
The ticket INC0045376 was raised due to an issue with the SAP Hybris eCommerce application. The user was unable to see their product allowance balance, specifically their Beer points, in the Marketplace portal. Upon investigation, it was found that there were 0 Beer points visible in the portal for the BPID 50007649. Further checks revealed that this BPID was expired and a different active BPID, 50042667, existed for the customer. However, there were errors in the data load for this active BPID in Hybris.

","RECOMMENDATIONS:
1. The issue was first identified in the Hybris end, where 0 Beer points were visible for the expired BPID 50007649.
2. The R2R was checked for the same BPID, and it was found that there were no open items.
3. The S4 team found that BPID 50007649 was expired and there was a different active BPID, 50042667, for the customer.
4. Errors were found in the data load for BPID 50042667 in Hybris. The MDG team checked these errors and fixed the issue.
5. After replicating the active BPID 50042667, a successful data load was received and the Beer points became visible in the portal.
6. The user confirmed that they were able to see the Beer points in the Marketplace portal.
7. The ticket was closed after the user's confirmation. It is recommended that the user respond back to the survey generated upon ticket closure to help improve the service provided to the business.

Please note that these recommendations are based on the information provided in the ticket and not generated by me."
INC0045372,[BRQ]Mass Change of Characteristics for Equipment in SAP Production,4 - Low,AM - SAP P2M,We have a need to mass update of the characteristics for the listed equipment in the attached spreadsheet.,SAP S4 Enterprise Asset Management (EAM),SAP,Plan to Manufacture (P2M),"We have done changes for Characteristics for Equipment in SAP Production as per ticket attachment excel file. User confirmed for ticket closure, hence closing this ticket.","ISSUE:
The ticket INC0045372 pertains to a request for a mass update of characteristics for certain equipment in the SAP S4 Enterprise Asset Management (EAM) system. The equipment details were provided in an attached spreadsheet. The issue was assigned to the AM - SAP P2M group and was categorized under the Plan to Manufacture (P2M) subcategory. The user was out of office (OOO) at the time of the task completion, and confirmation from the user was pending.

","RECOMMENDATIONS:
1. Perform the mass update of characteristics for the listed equipment as per the details provided in the attached spreadsheet.
2. Confirm the successful completion of the task.
3. Wait for the user to confirm the successful update of the equipment characteristics.
4. Once the user confirms the successful update, close the ticket.

Please note that these recommendations are based on the information provided in the ticket and are generated by me."
INC0045367,Material incorrectly set up as EWM material and should be IM,4 - Low,AM - SAP P2M,"Hi there, we are a couple of days away from changing over to a new Swan Draught keg cap. The new keg cap has incorrectly set up as a EWM (scan) material vs IM (post) material. Both keg caps are in the correct location 1009. We had a similiar issue earlier in the year with our Swan Gold keg caps. Email attached on who and how it was resolved. Old keg cap 1200789 New keg cap 1260148",SAP S4 Logistics and Warehousing (LAW),SAP,Master Data Governance (MDG),"the component was extended to EWM location 1005 which was leading to SLOC determined based on PSA maintained in work center. 
MDG team deleted the material extension to 1005 and now PRocess order picks IM location. ","ISSUE:
The ticket INC0045367 pertains to an issue with the setup of a new Swan Draught keg cap in the SAP S4 Logistics and Warehousing (LAW) system. The new keg cap has been incorrectly set up as an Extended Warehouse Management (EWM) material instead of an Inventory Management (IM) material. This is problematic as both keg caps are in the correct location 1009. The issue is similar to a previous one encountered with Swan Gold keg caps. The old keg cap number is 1200789 and the new keg cap number is 1260148.

","RECOMMENDATIONS:
1. Identify the incorrect setup: The new Swan Draught keg cap has been incorrectly set up as an EWM material instead of an IM material.
2. Contact the Master Data Governance (MDG) team: The MDG team should be informed about the incorrect setup and asked to correct it.
3. Correct the setup: The MDG team should delete the material extension to location 1005 in the system. This will ensure that the process order picks the IM location instead of the EWM location.
4. Confirm the changes: After the changes have been made, they should be confirmed to ensure that the issue has been resolved.
5. Learn from past issues: This issue is similar to a previous one encountered with Swan Gold keg caps. The resolution for that issue should be referred to for guidance on how to resolve this one.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
